1, 心電図自動診断で「QT延長」が出た児童について、手動再計測時に注意すべきことを述べよ。
2, 右側胸部誘導でST上昇が見られた場合、どのような疾患が疑われるか。
3, 「左室高電位」と心電図に表示された場合、左室肥大の有無を判別するために、追加でどのような情報を確認すべきか
4, 学校心電図において、QRS波が小さく表示されることがある。どのような種類のフィルタリングが原因となるか。
5, 先天性QT延長症候群の児童が無症状でも運動制限を要することがある。その理由を述べよ。
6, 「ブルガダ型」の心電図のタイプについて、それぞれの違いが分かるように説明せよ。
7, 児童の心電図で広範なST-T変化や異常なQ波が見られた際に心筋症を疑うべき理由と、鑑別のために役立つ追加検査について述べよ。
8, 不完全右脚ブロックと右軸偏位を伴う所見がある児童で心房中隔欠損症が疑われる。診断のために有用な追加検査について述べなさい。
9, 川崎病後に冠動脈病変が残る児童に対して、学校生活でどのような運動制限や管理指導が必要か、心エコーの所見との関係を踏まえて記述しなさい。
10, 特発性肺動脈性肺高血圧症（I/HPAH）が疑われた児童に対し、学校心臓検診でどのような心電図所見が参考となるか。
