1, 8歳の患者。学校心臓検診の自動診断によりQT延長が検出された。次に行うべき対応として適切なのはどれか。, 直ちに薬物治療を開始する, 心臓超音波検査を行う, 再度手動でQT間隔を測定し、2次検診の要否を判断する, 問題ないと判断して経過観察とする
2, 右側胸部誘導でのみST上昇がみられた場合、鑑別を要する状況として最も適切なのはどれか。, 高校生男子でV2誘導に0.2mVのST上昇があり、既往歴や家族歴は特にない, 小学生女子でV1〜V3にかけて0.1mVのST上昇があり、運動時失神の既往がある, 中学生男子でV2に0.3mVのST上昇があり、家族に糖尿病患者がいる, 高校生女子でV2に0.2mVのST上昇があり、症状・既往はない
3, 13歳の男子。学校心電図で右側胸部誘導にST上昇が認められた。ブルガダ型症候群が疑われる場合、2次検診でまず確認すべき対応はどれか。, 心房細動の既往の有無, 日内変動による波形変化の確認, 血中トロポニン値の測定, 心音図検査による評価
4, 肥大型心筋症（HCM）の1次検診における心電図所見で、左室肥大所見として留意すべき項目として最も適切なものを一つ選びなさい。, II、III、aVFの深いQ波, V5〜6の高いR波 + V1の深いS波, 右側胸部誘導のST低下, 肺性P波
5, 13歳の女子。学校検診でST-T変化がみられた。4日前に風邪をひいたという。急性心筋炎の可能性を評価する上で重要な心電図所見はどれか。, 左軸偏位と右房負荷, 徐脈とP波消失, 多発性の期外収縮とST-T変化の出現・変動, 左室肥大とJ波の出現
6, 心房中隔欠損症(ASD)について正しいものを選べ。, 児童にASDが疑われる場合、運動を禁止する。, 10歳までに治療しないと致死率が上昇する。, 完全右脚ブロックを特徴とする。, V1誘導のrsR′パターンと左側胸部誘導のT波異常は特異度が高い。
7, 皮下植込み型除細動器（S-ICD）を植え込む際に注意すべきこととして誤っているものを選べ。, 空港では金属探知機を用いない方法で保安検査を行えるよう配慮してもらう, S-ICD装着中は水泳を避ける, 体重25kgの小児は植え込み可能である, 救命措置でAEDを使用する場合には，除細動パドルをS-ICD本体およびリードの真上に位置させることは避ける
8, ARVC（右室心筋症）／ACM（心筋症スペクトラム）に関する記述のうち、誤っているものはどれか。, アスリートに多い, 遺伝する, 好発年齢は30〜40代である, 心室中隔の菲薄化が特徴である
9, ファロー四徴症術後に肺動脈弁置換術と同時に外科的クライオアブレーションを施行した。正しいのはどれか。, ファロー四徴症術後の遠隔期VTの大部分は右室切開線ー肺動脈弁輪間を遅伝導路とする, 洞結節機能不全が高頻度で起こる, EPSでVTが誘発されることはほぼない, SCAI伝導途絶を確認していない場合、再発の可能性がある
10, 運動中に失神を繰り返す10歳男児。安静時心電図に異常所見はないが、家族歴として若年突然死がある。最も考えられる疾患はどれか。, QT延長症候群, カテコラミン誘発多形性心室頻拍（CPVT）, ブルガダ症候群, WPW症候群
